Customer_ID,Product,Quantity,Unit Price(USD),Total_Price(USD),Purchase_Date,Customer_Name,Industry,Annual_Revenue(USD),Number_of_Employees,Customer_Priority_Rating,Account_Type,Location,Current_Products,Product_Usage(%),Cross-Sell_Synergy,Last_Activity_Date,Opportunity_Stage,Opportunity_Amount(USD),Opportunity_Type,Competitors,Activity_Status,Activity_Priority,Activity_Type,Product_SKU
C001,Drill Bits,9,250,2250,2024-11-27,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C001,Protective Gloves,9,1000,9000,2024-10-23,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C002,Drills,4,100,400,2024-06-10,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C002,Backup Batteries,9,100,900,2024-06-15,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Advanced Analytics,8,250,2000,2024-07-10,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C002,Backup Batteries,8,750,6000,2024-10-20,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C002,Protective Gloves,4,1000,4000,2024-10-11,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C005,Generators,5,250,1250,2025-03-25,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C002,Generators,7,250,1750,2025-03-18,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C005,Workflow Automation,5,500,2500,2024-09-25,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C001,Generators,1,1000,1000,2024-09-27,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C005,Safety Gear,3,100,300,2025-01-01,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C003,Protective Gloves,2,750,1500,2025-03-22,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",2024-11-19,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,Workflow Automation,6,1000,6000,2025-05-18,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
